,avg_train_loss,avg_train_score,avg_valid_loss,avg_valid_score,std_train_loss,std_train_score,std_valid_loss,std_valid_score,cv0-train_loss,cv0-train_score,cv0-valid_loss,cv0-valid_score,cv1-train_loss,cv1-train_score,cv1-valid_loss,cv1-valid_score,cv2-train_loss,cv2-train_score,cv2-valid_loss,cv2-valid_score,cv3-train_loss,cv3-train_score,cv3-valid_loss,cv3-valid_score,cv4-train_loss,cv4-train_score,cv4-valid_loss,cv4-valid_score,cv5-train_loss,cv5-train_score,cv5-valid_loss,cv5-valid_score,cv6-train_loss,cv6-train_score,cv6-valid_loss,cv6-valid_score,cv7-train_loss,cv7-train_score,cv7-valid_loss,cv7-valid_score,cv8-train_loss,cv8-train_score,cv8-valid_loss,cv8-valid_score,cv9-train_loss,cv9-train_score,cv9-valid_loss,cv9-valid_score,cv10-train_loss,cv10-train_score,cv10-valid_loss,cv10-valid_score,cv11-train_loss,cv11-train_score,cv11-valid_loss,cv11-valid_score,cv12-train_loss,cv12-train_score,cv12-valid_loss,cv12-valid_score,cv13-train_loss,cv13-train_score,cv13-valid_loss,cv13-valid_score,cv14-train_loss,cv14-train_score,cv14-valid_loss,cv14-valid_score,cv15-train_loss,cv15-train_score,cv15-valid_loss,cv15-valid_score,cv16-train_loss,cv16-train_score,cv16-valid_loss,cv16-valid_score,cv17-train_loss,cv17-train_score,cv17-valid_loss,cv17-valid_score,cv18-train_loss,cv18-train_score,cv18-valid_loss,cv18-valid_score,cv19-train_loss,cv19-train_score,cv19-valid_loss,cv19-valid_score
hierarchical_gru/summary/window_400_step_200_not_scaled,0.3194614295700663,0.8619797012458467,0.23324435412883754,0.7795642852564989,0.009162213008128913,0.031834247334726465,0.016901959569280534,0.04306546551212681,0.3229403378147828,0.8716633002016453,0.22911545038223266,0.7808578460859708,0.3178175577991887,0.8972082677684314,0.22698224484920498,0.7755132653828921,0.3141457658064993,0.8169120184787473,0.22646086215972897,0.7331362564426005,0.3075890294031093,0.8912222023548683,0.21755588054656985,0.8584245128648998,0.33481445702675144,0.8328927174255408,0.2661073327064514,0.7498895455061315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/aug/percentile_summary_window_5000_step_5000,0.3134482454413023,0.46268420088397655,0.28017962674299873,0.41622969478579197,0.038331496849900816,0.3508078984841546,0.020004590363388343,0.34006850334397726,0.2901487520489937,0.8114790455523456,0.3040253768364589,0.6772361621358955,0.3885823365969536,0.6419460227841766,0.2779417385657628,0.6890135898101473,0.2927491554082968,0.0,0.2614753743012746,0.0,0.2868044372552481,0.07976603463636643,0.3018927276134491,0.0,0.3089565458970192,0.7802299014469939,0.2555629163980484,0.714898721982917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/summary_not_scaled/hidden_64_window_5000_summary,0.48327699850002925,0.708790262629209,0.3065415292978287,0.723654005257999,0.040211043696365086,0.0345793848734496,0.022723001431517384,0.0789522569345961,0.5159601370493571,0.7004051161842642,0.28374966979026794,0.6659298054006787,0.4048946599165599,0.6804321239298817,0.3371354937553406,0.8223443223443223,0.4896687865257263,0.7416399203983242,0.308320552110672,0.7788617985181444,0.530474990606308,0.663241375247198,0.2922550141811371,0.6068823877102338,0.5345115065574646,0.6805489440047077,0.27402687072753906,0.626464650804783,0.4658987373113632,0.6718724060923815,0.3162682354450226,0.6848624697669227,0.5080338368813196,0.7245225756429464,0.3216076493263245,0.8560206879926783,0.4397161453962326,0.7766909686871176,0.333077073097229,0.7730654252747508,0.4495774308840434,0.7389545446077413,0.3251599371433258,0.6850857407061974,0.4940337538719177,0.7095946514975269,0.2738147974014282,0.7370227640612775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senet/resnet_50/summary_window_40_step_20,0.3123789704159686,1.0,1.8556600332260131,0.6585946332768382,0.02317629156820544,0.0,1.9156781463220012,0.0325341711384544,0.3299427597146285,1.0,0.7024261355400085,0.6577556246091413,0.2976520128156009,1.0,0.9071515202522278,0.6157665428533938,0.34748016062535736,1.0,5.651205062866211,0.6893878605693424,0.3036225049903518,1.0,1.3821561336517334,0.6998620232274343,0.2831974139339046,1.0,0.6353613138198853,0.6302011151248794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigru_attention/fft/fft_5000_pca_200,0.4159022747157989,0.8840468977404223,0.48768625110387803,0.7396792297144266,0.022945513712728342,0.0317707373419345,0.23449494589713482,0.05328657452739089,0.37908144841309294,0.8962133887999323,1.1500157713890076,0.7045870120531379,0.3879637365991419,0.8515456330247148,0.4317535161972046,0.8142104936309331,0.42345502837137744,0.8349344100340437,0.4154437333345413,0.6957316675209555,0.4371027661995454,0.8279243001219225,0.4629200398921967,0.7359258103282071,0.4251317761161111,0.8898316670214469,0.3181995637714863,0.7196555517100283,0.4587172229181637,0.9128129744411017,0.3644926249980927,0.7008823424438235,0.4029333808205344,0.9235036881831196,0.351152777671814,0.8141711454722252,0.4307697970758785,0.8980818228586828,0.5520671978592873,0.6489334107284183,0.4157007715918801,0.904901264220266,0.5274371616542339,0.7655318158241113,0.3981668190522628,0.9007198286989931,0.30338012427091604,0.7971630474324247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchical_gru_context/summary_not_scaled/window_200_step_200,0.23469976216901914,0.8922545967315388,0.19837327096223212,0.7640551613797654,0.02120849191950579,0.048667016803346425,0.03410627527761638,0.0547853113905831,0.26816507773000303,0.8884530083067153,0.2161867228647073,0.8006012470695704,0.24138436501182745,0.8134716119902509,0.19852105184302976,0.7196220259521074,0.20237893190519032,0.9661419460004596,0.25233647963032124,0.6820536282529862,0.22865144125485826,0.8887285458415789,0.16205144636332988,0.8305980837616166,0.2329189949432167,0.9044778715186891,0.1627706541097723,0.7874008218625462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn/attention/multiple_dropouts/layer_8_summary_window_40_step_20,0.29083297173182165,0.9894916558141527,1.9404559850692749,0.7500082942802968,0.02508168042466173,0.00991920880345123,1.8623790881391107,0.033872318174590056,0.2869865487019221,0.9736667957689024,1.391880750656128,0.6931582578146402,0.24903940459092455,0.9849984824121252,5.5845608711242685,0.7697351146597695,0.3156638115644455,1.0,0.7883378863334656,0.7359641657722065,0.3178338607152303,0.9887930008897357,1.4912651777267456,0.7930463282415926,0.284641233086586,1.0,0.4462352395057678,0.7581376049132751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn/attention/summary_window_40_step_20,0.35087998618682226,0.88482455024216,1.065230619907379,0.7968742122610902,0.03380125947910982,0.03708684338154104,0.36456400331497263,0.04787938975035979,0.3365677326917648,0.9076073191384968,1.455944538116455,0.8169399775485033,0.36584702928860985,0.8256488859832186,0.9661858677864076,0.7584142148620947,0.3536418030659358,0.9018696086039378,1.5298078060150146,0.7385563411125647,0.29783792942762377,0.9289850788115714,0.6989628076553345,0.8754610107723745,0.4005054364601771,0.8600118586735753,0.6752520799636841,0.7949995170099137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senet/resnet_50/summary_not_scaled/summary_window_40_step_20,0.21283497524337242,0.8425798232981551,0.530715264120225,0.7704479122681378,0.011840064987767856,0.040616375562486,0.3814225691593828,0.04049342604595486,0.22318945812471844,0.8501827692240742,0.4562761922677358,0.7875779996075823,0.2109248937123408,0.9048359368335384,1.2841647227605184,0.7388904976780931,0.20050152814236735,0.8447429313013987,0.28823487609624865,0.7116582272550601,0.2001098745455176,0.7772724426966333,0.31995561917622883,0.8267120149374068,0.229449121691918,0.8358650364351303,0.3049449103003932,0.7874008218625462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senet/resnet_50/avg_window_8_step_4,0.23961936387703894,0.5040333381786547,0.7036770014730218,0.4717577145153406,0.0,0.0,0.0,0.0,0.23961936387703894,0.5040333381786547,0.7036770014730218,0.4717577145153406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
